SYMBOL;DESCRIPTION;IBKR SYMBOL;CURRENCY;PRODUCT;REGION;EXCHANGE *PRIMARY EXCHANGE;Classificação Econômica;inloco
09K0;ARK SPACE EXPLORATION & INNO;09K0;EUR;ETF;US;GETTEX*;Desenvolvido;0
09KA;THE 3D PRINTING ETF;09KA;EUR;ETF;US;GETTEX*;Desenvolvido;0
0BYB;ISHARES GLOBAL CLEAN ENERGY;0BYB;EUR;ETF;US;GETTEX*;Desenvolvido;0
2840;SPDR GOLD SHARES;2840;HKD;ETF;US;SEHK*;Desenvolvido;0
82840;SPDR GOLD SHARES - RMB;82840;CNH;ETF;US;SEHK*;Desenvolvido;0
9840;SPDR GOLD SHARES - USD;9840;USD;ETF;US;SEHK*;Desenvolvido;1
AAA;ALTERNATIVE ACCESS FIRST PRI;AAA;USD;ETF;US;NYSE;Desenvolvido;1
AAAU;GOLDMAN SACHS PHYSICAL GOLD;AAAU;USD;ETF;US;AMEX;Desenvolvido;1
AAAU;GOLDMAN SACHS PHYSICAL GOLD;AAAU;MXN;ETF;US;MEXI*;Desenvolvido;0
AADR;ADVISORSHARES DORSEY WRIGHT;AADR;USD;ETF;US;NYSENAT;Desenvolvido;1
AAPB;GRANITESHARES 2X LONG AAPL D;AAPB;USD;ETF;US;IEX;Desenvolvido;1
AAPD;DIREXION DAILY AAPL BEAR 1X;AAPD;USD;ETF;US;BATS;Desenvolvido;1
AAPR;IN ED PR ETF - 2YR TO A 2026;AAPR;USD;ETF;US;NYSE;Desenvolvido;1
AAPU;DIREXION DAILY AAPL BULL 2X;AAPU;USD;ETF;US;DRCTEDGE;Desenvolvido;1
AAPX;T-REX 2X LNG APPLE DLY TRGT;AAPX;USD;ETF;US;ARCA;Desenvolvido;1
AAPY;KURV YLD PREM STR AAPL ETF;AAPY;USD;ETF;US;PSX;Desenvolvido;1
AAXJ;ISHARES MSCI ALL COUNTRY ASI;AAXJ;USD;ETF;US;OVERNIGHT;Desenvolvido;1
AAXJ;ISHARES MSCI ALL COUNTRY ASI;AAXJ;MXN;ETF;US;MEXI*;Desenvolvido;0
ABCS;ALPHA BLUE CAP US S-M DYN;ABCS;USD;ETF;US;NASDAQ*;Desenvolvido;1
ABEQ;ABSOLUTE SELECT VALUE ETF;ABEQ;USD;ETF;US;NYSENAT;Desenvolvido;1
ABFL;ABACUS FCF LEADERS ETF;ABFL;USD;ETF;US;PSX;Desenvolvido;1
ABHY;ABACUS TACTICAL HIGH YIELD E;ABHY;USD;ETF;US;LTSE;Desenvolvido;1
ABLD;ABA FCF RAL ASET LAD ETF-USD;ABLD;USD;ETF;US;LTSE;Desenvolvido;1
ABLG;ABAC FCF INTERN LEAD ETF-USD;ABLG;USD;ETF;US;MEMX;Desenvolvido;1
ABNY;YLDMX ABNB OP INC STRTG ETF;ABNY;USD;ETF;US;PHLX;Desenvolvido;1
ABOT;ABACUS FCF INNOVATION LEADER;ABOT;USD;ETF;US;AMEX;Desenvolvido;1
ACES;ALPS CLEAN ENERGY ETF;ACES;USD;ETF;US;ARCA*;Desenvolvido;1
ACGR;AMERICAN CENTURY LARGE CAP G;ACGR;USD;ETF;US;EDGEA;Desenvolvido;1
ACIO;APTUS COLLARED INVESTMENT OP;ACIO;USD;ETF;US;CHX;Desenvolvido;1
ACLC;AMERICAN CENTURY LARGE CAP E;ACLC;USD;ETF;US;DRCTEDGE;Desenvolvido;1
ACLO;TCW AAA CLO ETF;ACLO;USD;ETF;US;OVERNIGHT;Desenvolvido;1
ACSI;AMERICAN CUSTOMER SATISFACTI;ACSI;USD;ETF;US;MEMX;Desenvolvido;1
ACTV;LEADERSHARES ACTIVIST LEADER;ACTV;USD;ETF;US;AMEX;Desenvolvido;1
ACVF;AMERICAN CONSERVATIVE VALUES;ACVF;USD;ETF;US;MEMX;Desenvolvido;1
ACWI;ISHARES MSCI ACWI ETF;ACWI;USD;ETF;US;CBOE;Desenvolvido;1
ACWV;ISHARES MSCI GLOBAL MIN VOL;ACWV;USD;ETF;US;BATS*;Desenvolvido;1
ACWV;ISHARES MSCI GLOBAL MIN VOL;ACWV;MXN;ETF;US;MEXI*;Desenvolvido;0
ACWX;ISHARES MSCI ACWI EX US ETF;ACWX;USD;ETF;US;DRCTEDGE;Desenvolvido;1
ADFI;ANFIELD DYNAMIC FIXED INCOME;ADFI;USD;ETF;US;NYSENAT;Desenvolvido;1
ADIV;SMARTETFS APAC DVD BUILDER;ADIV;USD;ETF;US;BATS;Desenvolvido;1
ADME;APTUS DRAWDOWN MANAGED EQUIT;ADME;USD;ETF;US;IBEOS;Desenvolvido;1
ADPV;ADAPTIV SELECT ETF;ADPV;USD;ETF;US;AMEX;Desenvolvido;1
ADVE;MATTHEWS ASIA DIVIDEND ETF;ADVE;USD;ETF;US;IEX;Desenvolvido;1
ADZCF;DB AGRICULTURE SHORT ETN;ADZCF;USD;ETF;US;OTCLNKECN;Desenvolvido;1
AESR;ANFIELD US EQUITY SECTOR ROT;AESR;USD;ETF;US;BEX;Desenvolvido;1
AETH;BIT TRE ETH TRE RO ST ET-USD;AETH;USD;ETF;US;BEX;Desenvolvido;1
AFIF;ANFIELD UNIVERSAL FIXED INCO;AFIF;USD;ETF;US;IBEOS;Desenvolvido;1
AFIX;ALLSPRING BRD MRKT CORE BND;AFIX;USD;ETF;US;MEMX;Desenvolvido;1
AFK;VANECK AFRICA INDEX ETF;AFK;USD;ETF;US;AMEX;Desenvolvido;1
AFLG;FIRST TRUST ACTIVE FACTOR LA;AFLG;USD;ETF;US;CHX;Desenvolvido;1
AFMC;FIRST TRUST ACTIVE FACTOR MI;AFMC;USD;ETF;US;BEX;Desenvolvido;1
AFSM;FIRST TRUST ACTIVE FACTOR SM;AFSM;USD;ETF;US;AMEX;Desenvolvido;1
AGFXF;DB AGRICULTURE LONG ETN;AGFXF;USD;ETF;US;OTCLNKECN;Desenvolvido;1
AGG;ISHARES CORE U.S. AGGREGATE;AGG;USD;ETF;US;BATS;Desenvolvido;1
AGG;ISHARES CORE U.S. AGGREGATE;AGG;MXN;ETF;US;MEXI*;Desenvolvido;0
AGGH;SIMPLIFY AGGREGATE BOND ETF;AGGH;USD;ETF;US;NYSENAT;Desenvolvido;1
AGGS;HARBOR DISCIPLINED BOND ETF;AGGS;USD;ETF;US;LTSE;Desenvolvido;1
AGGY;WISDOMTREE YIELD ENHANCED US;AGGY;USD;ETF;US;LTSE;Desenvolvido;1
AGGY;WISDOMTREE YIELD ENHANCED US;AGGY;MXN;ETF;US;MEXI*;Desenvolvido;0
AGIH;ISHARES INFLATION HEDGED US;AGIH;USD;ETF;US;MEMX;Desenvolvido;1
AGIX;KRANESHARES AI & TECH ETF;AGIX;USD;ETF;US;DRCTEDGE;Desenvolvido;1
AGMI;THEMES SILVER MINERS ETF;AGMI;USD;ETF;US;PSX;Desenvolvido;1
AGNG;GLB X AGING POPULATION ETF;AGNG;USD;ETF;US;PSX;Desenvolvido;1
AGNG;GLB X AGING POPULATION ETF;AGNG;MXN;ETF;US;MEXI*;Desenvolvido;0
AGOX;ADAPTIVE ALPHA OPPORTUNITIES;AGOX;USD;ETF;US;PHLX;Desenvolvido;1
AGQ;PROSHARES ULTRA SILVER;AGQ;USD;ETF;US;EDGEA;Desenvolvido;1
AGQI;FIRST TR ACT GLBL QLTY INC;AGQI;USD;ETF;US;LTSE;Desenvolvido;1
AGRH;ISHARES INTEREST RATE HEDGED;AGRH;USD;ETF;US;AMEX;Desenvolvido;1
AGZ;ISHARES AGENCY BOND ETF;AGZ;USD;ETF;US;PHLX;Desenvolvido;1
AGZD;WISDOMTREE TRUST WISDOMTREE;AGZD;USD;ETF;US;EDGEA;Desenvolvido;1
AGZD;WISDOMTREE TRUST WISDOMTREE;AGZD;MXN;ETF;US;MEXI*;Desenvolvido;0
AHLT;AMERICAN BEACON AHL TREND;AHLT;USD;ETF;US;EDGEA;Desenvolvido;1
AHYB;AMERICAN CENTURY SELECT HY;AHYB;USD;ETF;US;DRCTEDGE;Desenvolvido;1
AIA;ISHARES ASIA 50 ETF;AIA;USD;ETF;US;BEX;Desenvolvido;1
AIA;ISHARES ASIA 50 ETF;AIA;MXN;ETF;US;MEXI*;Desenvolvido;0
AIBD;DX DAILYAI &BIG DATA BEAR 2X;AIBD;USD;ETF;US;MEMX;Desenvolvido;1
AIBU;DXDAILYAI AND BIG DATABULL2X;AIBU;USD;ETF;US;OVERNIGHT;Desenvolvido;1
AIEQ;AMPLIFY AI POWERED EQUITY;AIEQ;USD;ETF;US;CHX;Desenvolvido;1
AIFD;TCW ARTIFICIAL INTEL ETF;AIFD;USD;ETF;US;NYSE*;Desenvolvido;1
AINP;ALLSPRING INCOME PLUS ETF;AINP;USD;ETF;US;MEMX;Desenvolvido;1
AIPI;REX AI EQUITY PREM INC ETF;AIPI;USD;ETF;US;MEMX;Desenvolvido;1
AIQ;GLOBAL X ART INTEL & TECH;AIQ;USD;ETF;US;AMEX;Desenvolvido;1
AIQ;GLOBAL X ART INTEL & TECH;AIQ;MXN;ETF;US;MEXI*;Desenvolvido;0
AIRL;THEMES AIRLINES ETF;AIRL;USD;ETF;US;PHLX;Desenvolvido;1
AIRR;FIRST TRUST RBA AMERICAN IND;AIRR;USD;ETF;US;AMEX;Desenvolvido;1
AIRR;FIRST TRUST RBA AMERICAN IND;AIRR;MXN;ETF;US;MEXI*;Desenvolvido;0
AIS;VISTASHARES AIS ETF;AIS;USD;ETF;US;AMEX;Desenvolvido;1
AIVC;AMPLIFY BLOOMBERG AI VALUE C;AIVC;USD;ETF;US;CHX;Desenvolvido;1
AIVI;WISDOMTREE INTERNATIONAL AI;AIVI;USD;ETF;US;NYSE;Desenvolvido;1
AIVL;WISDOMTREE US AI ENHANCED VA;AIVL;USD;ETF;US;EDGEA;Desenvolvido;1
AIYY;YIELDMAX AI OP INC STR ETF;AIYY;USD;ETF;US;BEX;Desenvolvido;1
AJAN;INNOVATOR EQ DEF PROT 2YJ26;AJAN;USD;ETF;US;DRCTEDGE;Desenvolvido;1
AJUL;INVTOR EDP ETF 2YR TO JY2026;AJUL;USD;ETF;US;IBEOS;Desenvolvido;1
ALAI;ALGER AI ENABLE & ADOPT ETF;ALAI;USD;ETF;US;BEX;Desenvolvido;1
ALTL;PACER LUNT LARGE CAP ALTERNA;ALTL;USD;ETF;US;AMEX;Desenvolvido;1
ALTY;GLOBAL X ALTERNATIVE INCOME;ALTY;USD;ETF;US;CHX;Desenvolvido;1
ALTY;GLOBAL X ALTERNATIVE INCOME;ALTY;MXN;ETF;US;MEXI*;Desenvolvido;0
AMAX;ADAPTIVE HEDGED MULTI-ASSET;AMAX;USD;ETF;US;EDGEA;Desenvolvido;1
AMDL;GRANITESHARES 2XLONG AMD ETF;AMDL;USD;ETF;US;BEX;Desenvolvido;1
AMDS;GRANITE 1X SHORT AMD ETF;AMDS;USD;ETF;US;BEX;Desenvolvido;1
AMDY;YIELDMAX AMD OPTION IS ETF;AMDY;USD;ETF;US;IBEOS;Desenvolvido;1
AMID;ARGENT MID CAP ETF;AMID;USD;ETF;US;NYSE;Desenvolvido;1
AMJB;ALERIAN MLP ETN2044;AMJB;USD;ETF;US;DRCTEDGE;Desenvolvido;1
AMLP;ALERIAN MLP ETF;AMLP;MXN;ETF;US;MEXI*;Desenvolvido;0
AMLP;ALERIAN MLP ETF;AMLP;USD;ETF;US;IEX;Desenvolvido;1
AMOM;QRAFT AI-ENH US LRG CAP MTM;AMOM;USD;ETF;US;ARCA*;Desenvolvido;1
AMPD;CNIC ICE US CBN NTL PWR FI;AMPD;USD;ETF;US;EDGEA;Desenvolvido;1
AMUB;ETRACS ALERIAN MLP IND SER B;AMUB;USD;ETF;US;BYX;Desenvolvido;1
AMZA;INFRACAP MLP ETF;AMZA;USD;ETF;US;BEX;Desenvolvido;1
AMZD;DRX DLY AMZN BEAR 1X;AMZD;USD;ETF;US;LTSE;Desenvolvido;1
AMZP;KURV YLD PREM STR AMZN ETF;AMZP;USD;ETF;US;NYSE;Desenvolvido;1
AMZU;DIREXION DAILY AMZN BULL 2X;AMZU;USD;ETF;US;AMEX;Desenvolvido;1
AMZY;YIELDMAX AMAZN OPTION INCOME;AMZY;USD;ETF;US;BEX;Desenvolvido;1
AMZZ;GRANITESHARES 2XL AMZN ETF;AMZZ;USD;ETF;US;NYSENAT;Desenvolvido;1
ANEW;PROSHARES MSCI TRANSFORM CHG;ANEW;USD;ETF;US;DRCTEDGE;Desenvolvido;1
ANGL;VANECK FALLEN ANGEL HIGH YLD;ANGL;USD;ETF;US;LTSE;Desenvolvido;1
ANGL;VANECK FALLEN ANGEL HIGH YLD;ANGL;MXN;ETF;US;MEXI*;Desenvolvido;0
AOA;ISHARES CORE AGGRESSIVE ALLO;AOA;USD;ETF;US;DRCTEDGE;Desenvolvido;1
AOCT;IN EQU D PR ETF - 2 Y O 2026;AOCT;USD;ETF;US;PSX;Desenvolvido;1
AOHY;ANGEL OAK HIGH YILD OPPO ETF;AOHY;USD;ETF;US;BEX;Desenvolvido;1
AOK;ISHARES CORE CONSERVATIVE AL;AOK;USD;ETF;US;DRCTEDGE;Desenvolvido;1
AOM;ISHARES CORE MODERATE ALLOCA;AOM;USD;ETF;US;IEX;Desenvolvido;1
AOR;ISHARES CORE GROWTH ALLOCATI;AOR;USD;ETF;US;DRCTEDGE;Desenvolvido;1
AOTG;AOT GROWTH AND INNOVATION;AOTG;USD;ETF;US;IEX;Desenvolvido;1
APCB;ACTIVEPASSIVE CORE BOND ETF;APCB;USD;ETF;US;IBEOS;Desenvolvido;1
APIE;ACTIVEPASSIVE INTL EQTY ETF;APIE;USD;ETF;US;IEX;Desenvolvido;1
APLU;ALLSPRING CORE PLUS ETF;APLU;USD;ETF;US;CHX;Desenvolvido;1
APLY;YIELDMAX AAPL OPTION INCOME;APLY;USD;ETF;US;BYX;Desenvolvido;1
APMU;ACTIVEPASSIVE INTERM MUNI BD;APMU;USD;ETF;US;EDGEA;Desenvolvido;1
APOC;INR EQTY DEF P ETF - 6 M A/O;APOC;USD;ETF;US;IEX;Desenvolvido;1
APRD;INNOV PREM INC 10 BARR-APRIL;APRD;USD;ETF;US;IEX;Desenvolvido;1
APRH;INNOV PREM INC 20 BARR-APRIL;APRH;USD;ETF;US;BEX;Desenvolvido;1
APRJ;INNOV PREM INC 30 BARR-APRIL;APRJ;USD;ETF;US;IBEOS;Desenvolvido;1
APRP;PGIM US L-C BUF 12 ETF - APR;APRP;USD;ETF;US;AMEX;Desenvolvido;1
APRQ;INNOVATOR PREM INC 40 BAR-AP;APRQ;USD;ETF;US;LTSE;Desenvolvido;1
APRT;ALLIANZIM US LG CAP BUFFER10;APRT;USD;ETF;US;BEX;Desenvolvido;1
APRW;ALLIANZIM US LC BUFFER20 APR;APRW;USD;ETF;US;NYSENAT;Desenvolvido;1
APRZ;TRUESHARES STR OUTCOME APRIL;APRZ;USD;ETF;US;OVERNIGHT;Desenvolvido;1
APUE;ACTIVEPASSIVE US EQUITY ETF;APUE;USD;ETF;US;CHX;Desenvolvido;1
AQLT;ISHARES MSCI GL QUA FACT ETF;AQLT;USD;ETF;US;BEX;Desenvolvido;1
AQWA;GLOBAL X CLEAN WATER ETF;AQWA;USD;ETF;US;ARCA;Desenvolvido;1
AQWA;GLOBAL X CLEAN WATER ETF;AQWA;MXN;ETF;US;MEXI*;Desenvolvido;0
ARB;ALTSHARES MERGER ARBITRAGE;ARB;USD;ETF;US;EDGEA;Desenvolvido;1
ARCM;ARROW RESERVE CAP MGMT ETF;ARCM;USD;ETF;US;IEX;Desenvolvido;1
AREA;HARBOR APED NX GEN REIT ETF;AREA;USD;ETF;US;ARCA*;Desenvolvido;1
ARGT;GLOBAL X MSCI ARGENTINA ETF;ARGT;USD;ETF;US;CHX;Desenvolvido;1
ARGT;GLOBAL X MSCI ARGENTINA ETF;ARGT;MXN;ETF;US;MEXI*;Desenvolvido;0
ARKA;ARK 21SHRS ACTBITC FUT STRGY;ARKA;USD;ETF;US;IEX;Desenvolvido;1
ARKB;ARK 21SHARES BITCOIN ETF;ARKB;USD;ETF;US;BEX;Desenvolvido;1
ARKC;ARK 21SHRS ACT OC BIT STRGY;ARKC;USD;ETF;US;BEX;Desenvolvido;1
ARKD;ARK 21SHRS BLCKCHN DIG EC IN;ARKD;USD;ETF;US;BEX;Desenvolvido;1
ARKF;ARK FINTECH INNOVATION ETF;ARKF;USD;ETF;US;NYSENAT;Desenvolvido;1
ARKG;ARK GENOMIC REVOLUTION ETF;ARKG;USD;ETF;US;IEX;Desenvolvido;1
ARKK;ARK INNOVATION ETF;ARKK;USD;ETF;US;MEMX;Desenvolvido;1
ARKQ;ARK AUTONOMOUS TECH & ROBOT;ARKQ;USD;ETF;US;AMEX;Desenvolvido;1
ARKW;ARK NEXT GENERATION INTERNET;ARKW;USD;ETF;US;PEARL;Desenvolvido;1
ARKX;ARK SPACE EXPLORATION & INNO;ARKX;USD;ETF;US;DRCTEDGE;Desenvolvido;1
ARKY;ARK 21SHRS ACTBITC ETH STRGY;ARKY;USD;ETF;US;IBEOS;Desenvolvido;1
ARKZ;ARK 21 SHARES ACT ETH F S;ARKZ;USD;ETF;US;BEX;Desenvolvido;1
ARLU;ALLIANZIM US BF15 UNCAP APR;ARLU;USD;ETF;US;DRCTEDGE;Desenvolvido;1
ARP;PMV ADAPTIVE RISK PARITY ETF;ARP;USD;ETF;US;IEX;Desenvolvido;1
ARTY;ISHARES FUTURE AI & TECH ETF;ARTY;USD;ETF;US;ISE;Desenvolvido;1
ARVR;FIRST TRUST INDXX METAVERSE;ARVR;USD;ETF;US;BEX;Desenvolvido;1
ASEA;GLOBAL X FTSE SOUTHEAST ASIA;ASEA;USD;ETF;US;EDGEA;Desenvolvido;1
ASET;FLEXSHARES REAL ASSETS FUND;ASET;USD;ETF;US;NYSENAT;Desenvolvido;1
ASHR;XTRACKERS HARVEST CSI 300 CH;ASHR;USD;ETF;US;ISLAND;Desenvolvido;1
ASHR;XTRACKERS HARVEST CSI 300 CH;ASHR;MXN;ETF;US;MEXI*;Desenvolvido;0
ASHS;XTRACKERS HARVEST CSI 500 CH;ASHS;USD;ETF;US;PEARL;Desenvolvido;1
ASHS;XTRACKERS HARVEST CSI 500 CH;ASHS;MXN;ETF;US;MEXI*;Desenvolvido;0
ASIA;MATTHEWS PACIFIC TIGER ETF;ASIA;USD;ETF;US;BEX;Desenvolvido;1
ASMF;VIRTUS AS FUTURES ETF;ASMF;USD;ETF;US;DRCTEDGE;Desenvolvido;1
ATFV;ALGER 35 ETF;ATFV;USD;ETF;US;AMEX;Desenvolvido;1
ATMP;IPATH SELECT MLP ETN;ATMP;USD;ETF;US;BEX;Desenvolvido;1
AUGM;FT VEST US EQ MAX BUF AUG;AUGM;USD;ETF;US;IEX;Desenvolvido;1
AUGP;PGIM US L-C BUF 12 ETF - AUG;AUGP;USD;ETF;US;IEX;Desenvolvido;1
AUGT;ALLIANZIM US LC BUFFER10 AUG;AUGT;USD;ETF;US;EDGEA;Desenvolvido;1
AUGU;ALLIANZIM US BF15 UNCAP AUG;AUGU;USD;ETF;US;EDGEA;Desenvolvido;1
AUGW;ALLIANZIM US LC BUFFER20 AUG;AUGW;USD;ETF;US;ISE;Desenvolvido;1
AUGZ;TRUESHARES STRUC OUT AUG ETF;AUGZ;USD;ETF;US;MEMX;Desenvolvido;1
AUMI;THEMES GOLD MINERS ETF;AUMI;USD;ETF;US;NASDAQ*;Desenvolvido;1
AUSF;GLOBAL X ADAPTIVE US FACTOR;AUSF;USD;ETF;US;BEX;Desenvolvido;1
AUSF;GLOBAL X ADAPTIVE US FACTOR;AUSF;MXN;ETF;US;MEXI*;Desenvolvido;0
AVDE;AVANTIS INTERNATIONAL EQUITY;AVDE;USD;ETF;US;DRCTEDGE;Desenvolvido;1
AVDS;AVANTIS INTL SM CAP EQ ETF;AVDS;USD;ETF;US;MEMX;Desenvolvido;1
AVDV;AVANTIS INTL S/C VALUE ETF;AVDV;USD;ETF;US;AMEX;Desenvolvido;1
AVEE;AVANTIS EM MKT SM CAP EQ ETF;AVEE;USD;ETF;US;EDGEA;Desenvolvido;1
AVEM;AVANTIS EMERGING MARKETS EQ;AVEM;USD;ETF;US;MEMX;Desenvolvido;1
AVES;AVANTIS EMERGING MARKETS VAL;AVES;USD;ETF;US;AMEX;Desenvolvido;1
AVGE;AVANTIS ALL EQTY MRKTS ETF;AVGE;USD;ETF;US;CBOE;Desenvolvido;1
AVGV;AVANTIS ALL EQ MKTS VAL ETF;AVGV;USD;ETF;US;MEMX;Desenvolvido;1
AVGX;DEFIANCE DLY TRG 2X LNG AVGO;AVGX;USD;ETF;US;NYSE;Desenvolvido;1
AVIE;AVANTIS INFLATION FOC EQ ETF;AVIE;USD;ETF;US;ARCA*;Desenvolvido;1
AVIG;AVANTIS CORE FIXED INCOME;AVIG;USD;ETF;US;EDGEA;Desenvolvido;1
AVIV;AVANTIS INT LRG CAP VAL ETF;AVIV;USD;ETF;US;CHX;Desenvolvido;1
AVL;DX DAILY AVGO BULL 2X SHS;AVL;USD;ETF;US;BEX;Desenvolvido;1
AVLC;AVANTIS US LG CAP EQ ETF;AVLC;USD;ETF;US;AMEX;Desenvolvido;1
AVLV;AVANTIS US LARGE CAP VALUE;AVLV;USD;ETF;US;EDGEA;Desenvolvido;1
AVMA;AVANTIS MOD ALLOC ETF;AVMA;USD;ETF;US;IEX;Desenvolvido;1
AVMC;AVANTIS US MID CAP EQ ETF;AVMC;USD;ETF;US;EDGEA;Desenvolvido;1
AVMU;AVANTIS CORE MUNICIPAL FIXED;AVMU;USD;ETF;US;DRCTEDGE;Desenvolvido;1
AVMV;AVANTIS US MID CAP VAL ETF;AVMV;USD;ETF;US;DRCTEDGE;Desenvolvido;1
AVNM;AVANTIS ALL INTL MKTS EQ ETF;AVNM;USD;ETF;US;NYSENAT;Desenvolvido;1
AVNV;AVANTIS ALL INTL MKT VAL ETF;AVNV;USD;ETF;US;ISE;Desenvolvido;1
AVRE;AVANTIS REAL ESTATE ETF;AVRE;USD;ETF;US;DRCTEDGE;Desenvolvido;1
