SYMBOL;DESCRIPTION;IBKR SYMBOL;CURRENCY;PRODUCT;REGION;EXCHANGE *PRIMARY EXCHANGE;Classificação Econômica;inloco
50;YUANTA/P-SHRS TW TOP 50 ETF;50;TWD;ETF;TW;TWSE*;Desenvolvido;1
51;YUANTA/P-SHRS TW MID-CAP 100;51;TWD;ETF;TW;TWSE*;Desenvolvido;1
52;FUBON TAIWAN TECHNOLOGY ETF;52;TWD;ETF;TW;TWSE*;Desenvolvido;1
53;YUANTA/P-SHRS TW EL TECH ETF;53;TWD;ETF;TW;TWSE*;Desenvolvido;1
55;YUANTA/P-SHRS MSCI TW FIN ET;55;TWD;ETF;TW;TWSE*;Desenvolvido;1
56;YUANTA/P-SHRS TW DVD PLUS ET;56;TWD;ETF;TW;TWSE*;Desenvolvido;1
57;FUBON MSCI TAIWAN ETF;57;TWD;ETF;TW;TWSE*;Desenvolvido;1
61;W.I.S.E. YUANTA/P SHS C300 E;61;TWD;ETF;TW;TWSE*;Desenvolvido;1
6203;YUANTA/P-SHRS MSCI TW ETF;6203;TWD;ETF;TW;TWSE*;Desenvolvido;1
6204;SINOPAC TAIWAN TAIEX ETF;6204;TWD;ETF;TW;TWSE*;Desenvolvido;1
6205;FUBON SSE 180 INDEX ETF;6205;TWD;ETF;TW;TWSE*;Desenvolvido;1
6206;YUANTA/P-SHRS SSE50 ETF;6206;TWD;ETF;TW;TWSE*;Desenvolvido;1
6207;FUH HWA CSI 300 A SHARES ETF;6207;TWD;ETF;TW;TWSE*;Desenvolvido;1
6208;FUBON TAIWAN 50 INDEX ETF;6208;TWD;ETF;TW;TWSE*;Desenvolvido;1
00625K;FUBON SSE 180 INDEX ETF-RMB;00625K;CNY;ETF;TW;TWSE*;Desenvolvido;0
00631L;YUANTA/P-SHRS TW T50 2X ETF;00631L;TWD;ETF;TW;TWSE*;Desenvolvido;1
00632R;YUANTA/P-SHRS TW T50 1X ETF;00632R;TWD;ETF;TW;TWSE*;Desenvolvido;1
00633L;FUBON SSE180 LEV 2X IN ETF;00633L;TWD;ETF;TW;TWSE*;Desenvolvido;1
00634R;FUBON SSE180 INV INDEX ETF;00634R;TWD;ETF;TW;TWSE*;Desenvolvido;1
00635U;YUANTA S&P GSCI GOLD ER ETF;00635U;TWD;ETF;TW;TWSE*;Desenvolvido;1
636;CATHAY FTSE CHINA A50 ETF;636;TWD;ETF;TW;TWSE*;Desenvolvido;1
00636K;CATHAY FTSE CHINA A50 ETF K;00636K;USD;ETF;TW;TWSE*;Desenvolvido;0
00637L;YUANTA/P-SHRS CSI 300 2X ETF;00637L;TWD;ETF;TW;TWSE*;Desenvolvido;1
00638R;YUANTA/P-SHRS CSI 300 1X ETF;00638R;TWD;ETF;TW;TWSE*;Desenvolvido;1
639;FUBON SZSE 100 ETF;639;TWD;ETF;TW;TWSE*;Desenvolvido;1
00640L;FUBON TOPIX LEV 2X INDEX ETF;00640L;TWD;ETF;TW;TWSE*;Desenvolvido;1
00641R;FUBON TOPIX INV 1X INDEX ETF;00641R;TWD;ETF;TW;TWSE*;Desenvolvido;1
00642U;YUANTA S&P GSCI OIL ER ETF;00642U;TWD;ETF;TW;TWSE*;Desenvolvido;1
643;CAPITAL SZSE SME INDEX ETF;643;TWD;ETF;TW;TWSE*;Desenvolvido;1
00643K;CAPITAL SZSE SME INDEX ETF-R;00643K;CNY;ETF;TW;TWSE*;Desenvolvido;0
645;FUBON TOPIX INDEX ETF;645;TWD;ETF;TW;TWSE*;Desenvolvido;1
646;YUANTA S&P 500 ETF;646;TWD;ETF;TW;TWSE*;Desenvolvido;1
00647L;YUANTA DAILY S&P 500 2X ETF;00647L;TWD;ETF;TW;TWSE*;Desenvolvido;1
00648R;YUANTA DAILY S&P 500 BEAR 1X;00648R;TWD;ETF;TW;TWSE*;Desenvolvido;1
00650L;FUH HWA DAILY HANG SHENG 2X;00650L;TWD;ETF;TW;TWSE*;Desenvolvido;1
00651R;FUH HWA DAILY HS INVERSE ETF;00651R;TWD;ETF;TW;TWSE*;Desenvolvido;1
652;FUBON NIFTY ETF;652;TWD;ETF;TW;TWSE*;Desenvolvido;1
00653L;FUBON NIFTY 2X LEV IDX ETF;00653L;TWD;ETF;TW;TWSE*;Desenvolvido;1
00654R;FUBON NIFTY -1 INVERSE ETF;00654R;TWD;ETF;TW;TWSE*;Desenvolvido;1
00655L;CATHAY FTSE CHINA A50 2X ETF;00655L;TWD;ETF;TW;TWSE*;Desenvolvido;1
00656R;CATHAY FTSE CH A50 -1X ETF;00656R;TWD;ETF;TW;TWSE*;Desenvolvido;1
657;CATHAY NIKKEI 225 HEDGED ETF;657;TWD;ETF;TW;TWSE*;Desenvolvido;1
00657K;CATHAY NIKKEI 225 HG ETF K;00657K;USD;ETF;TW;TWSE*;Desenvolvido;0
660;YUANTA EURO STOXX 50 ETF;660;TWD;ETF;TW;TWSE*;Desenvolvido;1
661;YUANTA NIKKEI 225 ETF;661;TWD;ETF;TW;TWSE*;Desenvolvido;1
662;FUBON NASDAQ-100 ETF;662;TWD;ETF;TW;TWSE*;Desenvolvido;1
00663L;CATHAY TAIEX DAILY 2X ETF;00663L;TWD;ETF;TW;TWSE*;Desenvolvido;1
00664R;CATHAY TAIEX DAILY -1X ETF;00664R;TWD;ETF;TW;TWSE*;Desenvolvido;1
00665L;FUBON HS CN EN LEV INDEX ETF;00665L;TWD;ETF;TW;TWSE*;Desenvolvido;1
00666R;FUBON HS CN EN INVERSE ETF;00666R;TWD;ETF;TW;TWSE*;Desenvolvido;1
668;CATHAY DJIA ETF;668;TWD;ETF;TW;TWSE*;Desenvolvido;1
00668K;CATHAY DJIA ETF K;00668K;USD;ETF;TW;TWSE*;Desenvolvido;0
00669R;CATHAY DJIA DAILY INV ETF;00669R;TWD;ETF;TW;TWSE*;Desenvolvido;1
00670L;FUBON NASDAQ-100 2X ETF;00670L;TWD;ETF;TW;TWSE*;Desenvolvido;1
00671R;FUBON NASDAQ-100 -1X ETF;00671R;TWD;ETF;TW;TWSE*;Desenvolvido;1
00673R;YUANTA S&P GSCI OIL -1X ETF;00673R;TWD;ETF;TW;TWSE*;Desenvolvido;1
00674R;YUANTA S&P GSCI GLD -1X ETF;00674R;TWD;ETF;TW;TWSE*;Desenvolvido;1
00675L;FUBON TAIEX DAILY 2X ETF;00675L;TWD;ETF;TW;TWSE*;Desenvolvido;1
00676R;FUBON TAIEX DAILY -1X ETF;00676R;TWD;ETF;TW;TWSE*;Desenvolvido;1
678;CAPITAL NASDAQ BIOTECHNOLOGY;678;TWD;ETF;TW;TWSE*;Desenvolvido;1
00680L;YUANTA DAILY UST 20+ 2X ETF;00680L;TWD;ETF;TW;TWSE*;Desenvolvido;1
00681R;YUANTA UST 20+ BEAR 1X ETF;00681R;TWD;ETF;TW;TWSE*;Desenvolvido;1
00682U;YUANTA S&P US DOLLAR ER ETF;00682U;TWD;ETF;TW;TWSE*;Desenvolvido;1
00683L;YUANTA S&P US DOLLAR 2X ETF;00683L;TWD;ETF;TW;TWSE*;Desenvolvido;1
00684R;YUANTA S&P US DOLLAR -1X ETF;00684R;TWD;ETF;TW;TWSE*;Desenvolvido;1
00685L;CAPITAL TAIEX DAILY 2X ETF;00685L;TWD;ETF;TW;TWSE*;Desenvolvido;1
00686R;CAPITAL TAIEX DAILY -1X ETF;00686R;TWD;ETF;TW;TWSE*;Desenvolvido;1
00688L;CATHAY BBG BARC US 20+ 2XETF;00688L;TWD;ETF;TW;TWSE*;Desenvolvido;1
00689R;CATHAY BBG BARC US20+ -1XETF;00689R;TWD;ETF;TW;TWSE*;Desenvolvido;1
690;MEGA TAIWAN BLUE CHIP 30 ETF;690;TWD;ETF;TW;TWSE*;Desenvolvido;1
692;FUBON TWSE CORP GOVN 100 ETF;692;TWD;ETF;TW;TWSE*;Desenvolvido;1
00693U;JKO S&P GSCI SOYBEANS ER FUT;00693U;TWD;ETF;TW;TWSE*;Desenvolvido;1
700;FUBON HANG SHENG CN EN ETF;700;TWD;ETF;TW;TWSE*;Desenvolvido;1
