SYMBOL;DESCRIPTION;IBKR SYMBOL;CURRENCY;PRODUCT;REGION;EXCHANGE *PRIMARY EXCHANGE;Classificação Econômica;inloco
1;PING AN BANK CO LTD-A;1;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
2;CHINA VANKE CO LTD -A;2;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
6;SHENZHEN ZHENYE GROUP CO-A;6;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
8;CHINA HIGH-SPEED RAILWAY -A;8;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
9;CHINA BAOAN GROUP-A;9;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
10;SHENZHEN ECOBEAUTY CO LTD-A;10;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
11;SHENZHEN PROPS & RES DEV-A;11;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
12;CSG HOLDING CO LTD- A;12;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
16;KONKA GROUP CO LTD-A;16;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
19;SHENZHEN CEREALS HOLDINGS-A;19;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
21;SHENZHEN KAIFA TECHNOLOGY-A;21;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
25;SHENZHEN TELLUS HOLDING CO-A;25;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
27;SHENZHEN ENERGY GROUP CO L-A;27;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
28;CHINA NATIONAL ACCORD MEDI-A;28;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
29;SHENZHEN SPECIAL ECON ZONE-A;29;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
30;FAWER AUTOMOTIVE PARTS LTD-A;30;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
31;GRANDJOY HOLDINGS GROUP-A;31;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
32;SHENZHEN SED INDUSTRY CO-A;32;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
34;DIGITAL CHINA GROUP CO LTD-A;34;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
35;CHINA TIANYING INC-A;35;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
36;CHINA UNION HOLDINGS LTD-A;36;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
39;CHINA INTL MARINE CONTAIN-A;39;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
40;TUNGHSU AZURE RENEWABLE EN-A;40;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
42;SHENZHEN CENTRALCON INVEST-A;42;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
45;SHENZHEN TEXTILE HLDG-A;45;CNH;Stocks;HK;SEHKSZSE*;Desenvolvido;0
