SYMBOL;DESCRIPTION;IBKR SYMBOL;CURRENCY;PRODUCT;REGION;EXCHANGE *PRIMARY EXCHANGE;Classificação Econômica;inloco
00B;AQUAPORIN A/S;00B;EUR;Stocks;DE;FWB*;Desenvolvido;0
21;SFS GROUP AG;21;EUR;Stocks;DE;FWB*;Desenvolvido;0
02M;MOSAIC CO/THE;02M;EUR;Stocks;DE;FWB;Desenvolvido;0
02P;PEARL GOLD AG;02P;EUR;Stocks;DE;FWB*;Desenvolvido;0
06N;MAGNA POLONIA SA;06N;PLN;Stocks;PL;WSE*;Em Desenvolvimento;0
0790146D;FANES;0790146D;EUR;Stocks;IT;BVME*;Desenvolvido;0
08N;NFI OCTAVA SA;08N;PLN;Stocks;PL;WSE*;Em Desenvolvimento;0
96;HUBSPOT INC;96;EUR;Stocks;DE;SWB;Desenvolvido;0
09B;LASTMINUTE.COM NV;09B;EUR;Stocks;DE;FWB*;Desenvolvido;0
0AO1;AFRICA OPPORTUNITY FUND LTD;0AO1;EUR;Stocks;DE;SWB*;Desenvolvido;0
0AZ;JEUDAN A/S;0AZ;EUR;Stocks;DE;FWB*;Desenvolvido;0
0B7;BOSSARD HOLDING AG-REG A;0B7;EUR;Stocks;DE;FWB*;Desenvolvido;0
0BE;DOVRE GROUP OYJ;0BE;EUR;Stocks;DE;FWB*;Desenvolvido;0
0CD;CANATU PLC;0CD;EUR;Stocks;DE;FWB*;Desenvolvido;0
0CG;CHEGG INC;0CG;EUR;Stocks;DE;GETTEX;Desenvolvido;0
0HG;HIAG IMMOBILIEN AG;0HG;EUR;Stocks;DE;FWB*;Desenvolvido;0
0HV;ENVISTA HOLDINGS CORP;0HV;EUR;Stocks;DE;GETTEX;Desenvolvido;0
0LF;TOIVO GROUP OYJ;0LF;EUR;Stocks;DE;FWB*;Desenvolvido;0
0LW0;NEOVACS;0LW;EUR;Stocks;DE;FWB;Desenvolvido;0
0MJA;MEAD JOHNSON NUTRITION CO;0MJA;EUR;Stocks;DE;SWB*;Desenvolvido;0
0NIA.BAD;LOGICMARK INC;0NIA.BAD;EUR;Stocks;DE;GETTEX*;Desenvolvido;0
0NR;UNIPHAR PLC;0NR;EUR;Stocks;DE;GETTEX;Desenvolvido;0
0PP;PORTOLA PHARMACEUTICALS INC;0PP;EUR;Stocks;DE;IBIS*;Desenvolvido;0
0PY;PAYCOM SOFTWARE INC;0PY;EUR;Stocks;DE;SWB;Desenvolvido;0
0Q3;BEYOND MEAT INC;0Q3;EUR;Stocks;DE;SWB;Desenvolvido;0
0QF;MODERNA INC;0QF;EUR;Stocks;DE;FWB;Desenvolvido;0
0QM;ANGLER GAMING PLC;0QM;EUR;Stocks;DE;FWB*;Desenvolvido;0
0R1;ROYAL UNIBREW;0R1;EUR;Stocks;DE;FWB*;Desenvolvido;0
0S6;CERENCE INC;0S6;EUR;Stocks;DE;TGATE;Desenvolvido;0
0SR;SPAR NORD BANK A/S;0SR;EUR;Stocks;DE;GETTEX;Desenvolvido;0
0ST;SOLWERS OYJ;0ST;EUR;Stocks;DE;FWB*;Desenvolvido;0
0TN;BIORETEC OY;0TN;EUR;Stocks;DE;FWB*;Desenvolvido;0
