SYMBOL;DESCRIPTION;IBKR SYMBOL;CURRENCY;PRODUCT;REGION;EXCHANGE *PRIMARY EXCHANGE;Classificação Econômica;inloco
2INVE;AMUND IBEX35 DID -2X;2INVEe;EUR;ETF;FR;BATEES;Desenvolvido;1
5HGE;OSSIAM ESG SHL BRC CAPE GLB;5HGE;EUR;ETF;FR;BVME.ETF;Desenvolvido;1
AADA;21SHARES CARDANO ETP;AADA;CHF;ETF;CH;EBS*;Desenvolvido;1
ABBA;21SHARES BITCOIN SUISSE ETP;ABBA;CHF;ETF;CH;EBS*;Desenvolvido;1
ABTC;21SHARES BITCOIN SINGLE;ABTC;CHF;ETF;CH;EBS*;Desenvolvido;1
ADOT;21SHARES POLKADOT ETP;ADOT;CHF;ETF;CH;EBS*;Desenvolvido;1
ADSIC;ETP ADAPTIVV DC SWISS;ADSIC;CHF;ETF;CH;EBS*;Desenvolvido;1
ADWIC;ETP ADAPTIVV DWI;ADWIC;CHF;ETF;CH;EBS*;Desenvolvido;1
AETH;21SHARES ETHEREUM STAKING ET;AETH;CHF;ETF;CH;EBS*;Desenvolvido;1
ALGO;21SHARES ALGORAND ETP USD;ALGO;CHF;ETF;CH;EBS*;Desenvolvido;1
ALTS;21SHARES CRYPTO MCAP IDX ETP;ALTS;CHF;ETF;CH;EBS*;Desenvolvido;1
ANRJ;AMUNDI GLOBAL HYDROGEN ESG S;ANRJp;EUR;ETF;FR;DXEEN;Desenvolvido;1
ASOL;21SHARES SOLANA STAKING ETP;ASOL;CHF;ETF;CH;EBS*;Desenvolvido;1
ATOM;21SHARES COSMOS STAKING ETP;ATOM;CHF;ETF;CH;EBS*;Desenvolvido;1
AUCHAH;UBS ETF GOLD H. CHF;AUCHAz;CHF;ETF;CH;BATECH;Desenvolvido;1
AUUSI;UBS ETF GOLD;AUUSI;CHF;ETF;CH;EBS*;Desenvolvido;1
AVAX;21SHARES AVALANCHE STAKI ETP;AVAX;CHF;ETF;CH;EBS*;Desenvolvido;1
AWAT;AMUNDI PEA EAU (MSCI WATER);AWAT;EUR;ETF;FR;SBF*;Desenvolvido;1
AXRP;21SHARES XRP ETP;AXRP;CHF;ETF;CH;EBS*;Desenvolvido;1
BBEU;AMUNDI ETF MSCI EUR BUYBACK;BBEU;EUR;ETF;FR;BVME.ETF*;Desenvolvido;1
BEL;AMUNDI BEL 20 UCITS ETF;BEL;EUR;ETF;FR;ENEXT.BE*;Desenvolvido;1
BERMIB;AMUND FTSE MIB D-1X INV;BERMIB;EUR;ETF;FR;BVME.ETF*;Desenvolvido;1
BEST;ETP ON THE MARKET BEST IND;BEST;CHF;ETF;CH;EBS*;Desenvolvido;1
BITCOINXB;BITCOIN TRACKER ONE - SEK;BITCOIN XBT;SEK;ETF;SE;SFB*;Desenvolvido;1
BOLD;21SHARES BYTETREE BOLD ETP;BOLD;CHF;ETF;CH;EBS*;Desenvolvido;1
BQGE;BARCLAYS QUANTIC GLOBAL E NR;BQGE;EUR;ETF;FR;IBIS*;Desenvolvido;1
BSX;AMUNDI EURSTX50 DAILY -1X;LSK7;EUR;ETF;FR;IBIS;Desenvolvido;1
BTC;MELANION BTC EQUIT UCITS ETF;BTC;EUR;ETF;FR;SBF*;Desenvolvido;1
BTCA;15 FICAS ACTIVE CRYPTO;BTCA;CHF;ETF;CH;EBS*;Desenvolvido;1
BTCD;FICAS DYNAMIC CRYPTO ETP;BTCD;CHF;ETF;CH;EBS*;Desenvolvido;1
BTCL;LEONTEQ BITCOIN ETP;BTCL;CHF;ETF;CH;EBS*;Desenvolvido;1
BTPS;AMUNDI ITALY BTP DAILY -2X I;BTPS;EUR;ETF;FR;SBF*;Desenvolvido;1
BX4;AMUND CAC40 DX2SHRT;BX4p;EUR;ETF;FR;BATEEN;Desenvolvido;1
BXX;AMUND EURSTX 50 D -2X INVERS;BXXp;EUR;ETF;FR;DXEEN;Desenvolvido;1
C3M;AMUNDI ETF GOVIES 0-6 MONTHS;C3Mp;EUR;ETF;FR;CHIXEN;Desenvolvido;1
C5E;AMUNDI ETF STOXX EUROPE 50 U;AE50;EUR;ETF;FR;GETTEX;Desenvolvido;1
CAC;AMUNDI CAC 40;CAC.PA;EUR;ETF;FR;TRWBEN;Desenvolvido;1
CACC;AMUNDI CAC 40;CACCp;EUR;ETF;FR;DXEEN;Desenvolvido;1
CASL;CARDANO ADA STAKING BY LQD E;CASL;CHF;ETF;CH;EBS*;Desenvolvido;1
CBESG;UBS ETF SBI CORP ESG;CBESG;CHF;ETF;CH;EBS*;Desenvolvido;1
CBTC;21SHARES BITCOIN CORE ETP;CBTC;CHF;ETF;CH;EBS*;Desenvolvido;1
CCCC;CODED CAPITAL CRYPTO CHAMPIO;CCCC;CHF;ETF;CH;EBS*;Desenvolvido;1
CCMCI;UBS BBG CMCI COMPST TR CHF;CCMCI;CHF;ETF;CH;EBS*;Desenvolvido;1
CD6;AMUNDI ETF MSCI EUROPE CONSU;CD6;EUR;ETF;FR;BVME.ETF*;Desenvolvido;1
CD8;AMUNDI ETF MSCI EMU HIGH DIV;18M2;EUR;ETF;FR;IBIS;Desenvolvido;1
CF1;AMUNDI ETF MSCI FRANCE UCITS;CF1;EUR;ETF;FR;SBF*;Desenvolvido;1
CG1;AMUNDI ETF DAX UCITS ETF DR;CG1.PA;EUR;ETF;FR;TRWBEN;Desenvolvido;1
CHCORP;ISHARES CORE CHF CORP BD CH;CHCORP;CHF;ETF;CH;EBS*;Desenvolvido;1
CHDIV;UBS-MSCI SW IMI DVD ESG ADIS;CHDIV;CHF;ETF;CH;EBS*;Desenvolvido;1
CHDVD;ISHARES SWISS DIVIDEND CH;CHDVDz;CHF;ETF;CH;BATECH;Desenvolvido;1
