SYMBOL;DESCRIPTION;IBKR SYMBOL;CURRENCY;PRODUCT;REGION;EXCHANGE *PRIMARY EXCHANGE;Classificação Econômica;inloco
1;CK HUTCHISON HOLDINGS LTD;1;HKD;Stocks;HK;SEHK*;Desenvolvido;1
10;HANG LUNG GROUP LTD;10;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1000;BEIJING MEDIA CORP LTD-H;1000;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1001;HONG KONG SHANGHAI ALLIANCE;1001;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1002;VS INTERNATIONAL GROUP;1002;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1003;HUANXI MEDIA GROUP LTD;1003;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1004;CHINA SMARTER ENERGY GROUP H;1004;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1005;MATRIX HOLDINGS LIMITED;1005;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1007;LONGHUI INTERNATIONAL HOLDIN;1007;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1008;LITU HOLDINGS LTD;1008;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1009;INTERNATIONAL ENTERTAINMENT;1009;HKD;Stocks;HK;SEHK*;Desenvolvido;1
101;HANG LUNG PROPERTIES LTD;101;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1010;SKY BLUE 11 COMPANY LTD;1010;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1011;CHINA NT PHARMA GROUP CO LTD;1011;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1013;WAI CHUN GROUP HOLDINGS LTD;1013;HKD;Stocks;HK;SEHK*;Desenvolvido;1
102;SUMMIT ASCENT HOLDINGS LTD;102;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1020;CYBERNAUT INTERNATIONAL HOLD;1020;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1022;FEIYU TECHNOLOGY INTERNATION;1022;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1023;SITOY GROUP HOLDINGS LTD;1023;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1024;KUAISHOU TECHNOLOGY;1024;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1025;KNT HOLDINGS LTD;1025;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1026;UNIVERSAL TECHNOLOGIES HLDGS;1026;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1027;CHINA JICHENG HOLDINGS LTD;1027;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1028;C.BANNER INTERNATIONAL HOLDI;1028;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1029;IRC LTD;1029;HKD;Stocks;HK;SEHK*;Desenvolvido;1
103;SHOUGANG CENTURY HOLDINGS LT;103;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1030;SEAZEN GROUP LTD;1030;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1033;SINOPEC OILFIELD SERVICE -H;1033;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1034;FULLWEALTH INTERNATIONAL GRO;1034;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1036;VANKE OVERSEAS INVESTMENT HO;1036;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1037;MAXNERVA TECHNOLOGY SERVICES;1037;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1038;CK INFRASTRUCTURE HOLDINGS L;1038;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1039;CHANGYOU INTERNATIONAL GROUP;1039;HKD;Stocks;HK;SEHK*;Desenvolvido;1
104;ASIA COMMERCIAL HOLDINGS LTD;104;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1044;HENGAN INTL GROUP CO LTD;1044;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1045;APT SATELLITE HOLDINGS LTD;1045;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1046;UNIVERSE ENTERTAINMENT & CUL;1046;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1047;NGAI HING HONG COMPANY LTD;1047;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1049;CELESTIAL ASIA SECURITIES;1049;HKD;Stocks;HK;SEHK*;Desenvolvido;1
105;ASSOC INTERNATIONAL HOTELS;105;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1050;KARRIE INTL HLDGS LTD;1050;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1051;G-RESOURCES GROUP LTD;1051;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1052;YUEXIU TRANSPORT INFRASTRUCT;1052;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1053;CHONGQING IRON & STEEL CO-H;1053;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1055;CHINA SOUTHERN AIRLINES CO-H;1055;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1057;ZHEJIANG SHIBAO CO LTD-H;1057;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1058;NAMYUE HOLDINGS LTD;1058;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1059;KANTONE HOLDINGS LTD;1059;HKD;Stocks;HK;SEHK*;Desenvolvido;1
106;LANDSEA GREEN MANAGEMENT LTD;106;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1060;ALIBABA PICTURES GROUP LTD;1060;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1061;ESSEX BIO-TECHNOLOGY LTD;1061;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1062;CHINA DEVELOPMENT BANK INTER;1062;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1063;SUNCORP TECHNOLOGIES LTD;1063;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1064;ZHONG HUA INTL HLDGS LTD;1064;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1065;TIANJIN CAPITAL ENVIRON-H;1065;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1066;SHANDONG WEIGAO GP MEDICAL-H;1066;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1068;CHINA YURUN FOOD GROUP LTD;1068;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1069;CHINA HEALTH TECHNOLOGY GROU;1069;HKD;Stocks;HK;SEHK*;Desenvolvido;1
107;SICHUAN EXPRESSWAY CO-H;107;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1070;TCL ELECTRONICS HOLDINGS LTD;1070;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1071;HUADIAN POWER INTL CORP-H;1071;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1072;DONGFANG ELECTRIC CORP LTD-H;1072;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1073;DA YU FINANCIAL HOLDINGS LTD;1073;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1075;CAPINFO CO LTD-H;1075;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1079;PINE TECHNOLOGY HLDGS LTD;1079;HKD;Stocks;HK;SEHK*;Desenvolvido;1
108;GR LIFE STYLE COMPANY LTD;108;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1080;SHENGLI OIL&GAS PIPE HOLDING;1080;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1082;BRADAVERSE EDUCATION INVESTM;1082;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1083;TOWNGAS SMART ENERGY CO LTD;1083;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1084;GREEN FUTURE FOOD HYDROCOLLO;1084;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1085;HENGXIN TECHNOLOGY LTD;1085;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1086;GOODBABY INTERNATIONAL HOLDI;1086;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1087;INVESTECH HOLDINGS LTD;1087;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1088;CHINA SHENHUA ENERGY CO-H;1088;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1090;DA MING INTERNATIONAL HOLD;1090;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1091;SOUTH MANGANESE INVESTMENT L;1091;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1093;CSPC PHARMACEUTICAL GROUP LT;1093;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1094;CHERISH SUNSHINE INTERNATION;1094;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1097;I- CABLE COMMUNICATIONS LTD.,;1097;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1098;ROAD KING INFRASTRUCTURE LTD;1098;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1099;SINOPHARM GROUP CO-H;1099;HKD;Stocks;HK;SEHK*;Desenvolvido;1
11;HANG SENG BANK LTD;11;HKD;Stocks;HK;SEHK*;Desenvolvido;1
110;CHINA FORTUNE HLDGS LTD;110;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1100;MAINLAND HEADWEAR HLDGS LTD;1100;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1101;TCC GROUP HOLDINGS CO LTD;1101;TWD;Stocks;TW;TWSE*;Desenvolvido;1
1101;CHINA HUARONG ENERGY CO LTD;1101;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1102;ASIA CEMENT CORP;1102;TWD;Stocks;TW;TWSE*;Desenvolvido;1
1102;ENVIRO ENERGY INTERNATIONAL;1102;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1103;CHIA HSIN CEMENT;1103;TWD;Stocks;TW;TWSE*;Desenvolvido;1
1104;UNIVERSAL CEMENT;1104;TWD;Stocks;TW;TWSE*;Desenvolvido;1
1104;APAC RESOURCES LTD;1104;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1105;SING TAO NEWS CORP LTD;1105;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1107;MODERN LAND CHINA CO LTD;1107;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1108;LUCKY CEMENT CORP;1108;TWD;Stocks;TW;TWSE*;Desenvolvido;1
1108;TRIUMPH NEW ENERGY CO LTD-H;1108;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1109;CHINA RESOURCES LAND LTD;1109;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1109;HSING TA CEMENT CO LTD;1109;TWD;Stocks;TW;TWSE*;Desenvolvido;1
111;CINDA INTERNATIONAL HOLDINGS;111;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1110;SOUTHEAST CEMENT CO LTD;1110;TWD;Stocks;TW;TWSE*;Desenvolvido;1
1110;KINGWORLD MEDICINES GROUP;1110;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1111;HUASHI GROUP HOLDINGS LIMITED;1111;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1112;HEALTH AND HAPPINESS H&H INT;1112;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1113;CK ASSET HOLDINGS LTD;1113;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1114;BRILLIANCE CHINA AUTOMOTIVE;1114;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1115;TIBET WATER RESOURCES LTD;1115;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1116;MAYER HOLDINGS LIMITED;1116;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1117;CHINA MODERN DAIRY HOLDINGS;1117;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1118;GOLIK HOLDINGS LTD;1118;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1119;IDREAMSKY TECHNOLOGY HOLDING;1119;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1120;ARTS OPTICAL INTL HLDGS LTD;1120;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1121;GOLDEN SOLAR NEW ENERGY TECH;1121;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1122;QINGLING MOTORS CO LTD-H;1122;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1123;CHINA HONG KONG PHOTO PRODUC;1123;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1124;COASTAL GREENLAND LTD;1124;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1125;LAI FUNG HOLDINGS LTD;1125;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1126;DREAM INTERNATIONAL LTD;1126;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1127;LION ROCK GROUP LTD;1127;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1128;WYNN MACAU LTD;1128;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1129;CHINA WATER INDUSTRY GROUP L;1129;HKD;Stocks;HK;SEHK*;Desenvolvido;1
113;DICKSON CONCEPTS INTL LTD;113;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1130;CHINA ENVIRONMENTAL RESOURCE;1130;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1132;ORANGE SKY GOLDEN HARVEST EN;1132;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1133;HARBIN ELECTRIC CO LTD-H;1133;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1134;KELFRED HOLDINGS LIMITED;1134;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1137;HONG KONG TECHNOLOGY VENTURE;1137;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1138;COSCO SHIPPING ENERGY TRAN-H;1138;HKD;Stocks;HK;SEHK*;Desenvolvido;1
114;HERALD HOLDINGS LTD;114;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1140;WEALTHINK AI-INNOVATION CAPI;1140;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1141;CMBC CAPITAL HOLDINGS LTD;1141;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1142;E&P GLOBAL HOLDINGS LTD;1142;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1143;CHINA ENERGY STORAGE TECHNOL;1143;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1145;COURAGE INVESTMENT GROUP LTD;1145;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1146;HUICHENG INTERNATIONAL HOLDI;1146;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1147;EDENSOFT HOLDINGS LIMITED;1147;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1148;XINCHEN CHINA POWER HOLDINGS;1148;HKD;Stocks;HK;SEHK*;Desenvolvido;1
115;GRAND FIELD GROUP HOLDINGS;115;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1150;MILAN STATION HLDGS LTD;1150;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1152;MOMENTUM FINANCIAL HOLDINGS;1152;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1153;JIAYUAN SERVICES HOLDINGS LT;1153;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1156;CHINA NEW ENERGY LTD;1156;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1157;ZOOMLION HEAVY INDUSTRY - H;1157;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1159;SMART DIGITAL TECHNOLOGY GRO;1159;HKD;Stocks;HK;SEHK*;Desenvolvido;1
116;CHOW SANG SANG HLDG;116;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1160;GOLDSTONE CAPITAL GROUP LTD;1160;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1161;WATER OASIS GROUP LTD;1161;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1162;LUMINA GROUP LTD;1162;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1163;ADTIGER CORP LTD;1163;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1164;CGN MINING CO LTD;1164;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1165;SHUNFENG INTERNATIONAL CLEAN;1165;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1166;SOLARTECH INTL HLDG LTD;1166;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1167;JACOBIO PHARMACEUTICALS GROU;1167;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1168;SINOLINK WORLDWIDE HOLDINGS;1168;HKD;Stocks;HK;SEHK*;Desenvolvido;1
117;TIANLI HOLDINGS GROUP LTD;117;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1170;KINGMAKER FOOTWEAR HLDGS LTD;1170;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1171;YANKUANG ENERGY GROUP CO-H;1171;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1172;MAGNUS CONCORDIA GROUP LTD;1172;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1173;VEEKO INTERNATIONAL HLDGS;1173;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1176;ZHUGUANG HOLDINGS GROUP CO;1176;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1177;SINO BIOPHARMACEUTICAL;1177;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1179;H WORLD GROUP LTD;1179;HKD;Stocks;HK;SEHK*;Desenvolvido;1
118;COSMOS MACHINERY;118;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1180;PARADISE ENTERTAINMENT LTD;1180;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1181;TANG PALACE CHINA HOLDINGS;1181;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1182;SUCCESS DRAGON INTERNATIONAL;1182;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1183;MECOM POWER AND CONSTRUCTION;1183;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1184;SAS DRAGON HOLDINGS LTD;1184;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1185;CHINA ENERGINE INTERNATIONAL;1185;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1186;CHINA RAILWAY CONSTRUCTION-H;1186;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1188;HYBRID KINETIC GROUP LTD;1188;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1189;GREATER BAY AREA DYNAMIC GRO;1189;HKD;Stocks;HK;SEHK*;Desenvolvido;1
119;POLY PROPERTY GROUP CO LTD;119;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1193;CHINA RESOURCES GAS GROUP LT;1193;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1195;KINGWELL GROUP LTD;1195;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1196;REALORD GROUP HOLDINGS LTD;1196;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1198;ROYALE HOME HOLDINGS LTD;1198;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1199;COSCO SHIPPING PORTS LTD;1199;HKD;Stocks;HK;SEHK*;Desenvolvido;1
12;HENDERSON LAND DEVELOPMENT;12;HKD;Stocks;HK;SEHK*;Desenvolvido;1
120;COSMOPOLITAN INTL HLDGS;120;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1200;MIDLAND HOLDINGS LTD;1200;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1201;WEI CHUAN FOODS;1201;TWD;Stocks;TW;TWSE*;Desenvolvido;1
1201;TESSON HOLDINGS LTD;1201;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1202;CHENGDU SIWI SCIENCE AND TEC;1202;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1203;VE WONG CORP;1203;TWD;Stocks;TW;TWSE*;Desenvolvido;1
1203;GDH GUANGNAN HOLDINGS LTD;1203;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1204;BOARDWARE INTELLIGENCE TECHN;1204;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1205;CITIC RESOURCES HOLDINGS LTD;1205;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1206;TECHNOVATOR INTERNATIONAL LT;1206;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1207;SRE GROUP LIMITED;1207;HKD;Stocks;HK;SEHK*;Desenvolvido;1
1208;MMG LTD;1208;HKD;Stocks;HK;SEHK*;Desenvolvido;1
