SYMBOL;DESCRIPTION;IBKR SYMBOL;CURRENCY;PRODUCT;REGION;EXCHANGE *PRIMARY EXCHANGE;Classificação Econômica;inloco
A.H;ARMOR MINERALS INC;A.H;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AAA.P;FIRST TIDAL ACQUISITION CORP;AAA.P;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AAAJ.P;AAJ CAPITAL 3 CORP;AAAJ.P;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AAB;ABERDEEN INTERNATIONAL INC.;AAB;CAD;Stocks;CA;TSE*;Desenvolvido;1
AAG;AFTERMATH SILVER LTD;AAG;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AALI.H;ADVANCE LITHIUM CORP;AALI.H;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AAN;ATON RESOURCES INC;AAN;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AAPL;APPLE INC-CDR;AAPL;CAD;Stocks;CA;AEQLIT*;Desenvolvido;1
AAT.H;ATI AIRTEST TECHNOLOGIES INC;AAT.H;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
AAUC;ALLIED GOLD CORP;AAUC;CAD;Stocks;CA;TSE*;Desenvolvido;1
AAV;ADVANTAGE ENERGY LTD;AAV;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AAZ;AZINCOURT ENERGY CORP;AAZ;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
AB.H;ASBESTOS CORP LTD;AB.H;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ABA;ABASCA RESOURCES INC;ABA;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ABA1;ABBA MEDIX GROUP INC;ABA1;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ABBV;ABBVIE INC-CDR;ABBV;CAD;Stocks;CA;AEQLIT*;Desenvolvido;1
ABG.H;AMG BIOENERGY RESOURCES HOLD;ABG.H;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
ABI;ABCOURT MINES INC -CL B;ABI;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ABM;ABEN MINERALS LTD;ABM;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ABND;ABOUND ENERGY INC;ABND;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ABR;ARBOR METALS CORP;ABR;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
ABRA;ABRASILVER RESOURCE CORP;ABRA;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ABRT;ALBERT LABS INTERNATIONAL CO;ABRT;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ABS.H;AMERICAN BIOFUELS INC;ABS.H;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
ABX;BARRICK GOLD CORP;ABX;CAD;Stocks;CA;TSE*;Desenvolvido;1
ABXX;ABAXX TECHNOLOGIES IN;ABXX;CAD;Stocks;CA;AEQLIT*;Desenvolvido;1
ABZ;ASIABASEMETALS INC;ABZ;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AC;AIR CANADA;AC;CAD;Stocks;CA;TSE*;Desenvolvido;1
ACAP.P;ATLAS ONE CAPITAL CORP;ACAP.P;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
ACB;AURORA CANNABIS INC;ACB;CAD;Stocks;CA;TSE*;Desenvolvido;1
ACD;ACCORD FINANCIAL CORP;ACD;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ACDC;AC/DC BATTERY METALS INC;ACDC;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ACDX;AMERICAN COPPER DEVELOPMENT;ACDX;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ACI.H;AMILOT CAPITAL INC;ACI.H;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
ACME;ACME LITHIUM INC;ACME;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ACO.X;ATCO LTD -CLASS I;ACO.X;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ACO.Y;ATCO LTD -CL 'II';ACO.Y;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ACQ;AUTOCANADA INC;ACQ;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ACR.H;AUSCAN RESOURCES INC;ACR.H;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ACRE;AMERICAN CRITICAL ELEMENTS I;ACRE;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ACS;ARCHON MINERALS LTD;ACS;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
ACT;ADURO CLEAN TECHNOLOGIES INC;ACT;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ACU;AURORA SOLAR TECHNOLOGIES IN;ACU;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ACX;ACT ENERGY TECHNOLOGIES LTD;ACX;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AD.UN;ALARIS EQUITY PARTNERS INCOM;AD.UN;CAD;Stocks;CA;TSE*;Desenvolvido;1
ADBE;ADOBE INC-CDR;ADBE;CAD;Stocks;CA;AEQLIT*;Desenvolvido;1
ADCO;ADCORE INC;ADCO;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ADD;ARCTIC STAR EXPLORATION CORP;ADD;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
ADE;ADEX MINING INC;ADE;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
ADEN;ADENTRA INC;ADEN;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ADG.H;ARCUS DEVELOPMENT GROUP INC;ADG.H;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
ADJ.P;AD4 CAPITAL CORP;ADJ.P;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ADK;DIAGNOS INC;ADK;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ADN;ACADIAN TIMBER CORP;ADN;CAD;Stocks;CA;TSE*;Desenvolvido;1
ADP;ADELPHI METALS INC;ADP;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ADPT;ADAPTOGENICS HEALTH CORP;ADPT;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ADR.H;ARCLAND RESOURCES INC;ADR.H;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
ADW.A;ANDREW PELLER LTD -A;ADW.A;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ADW.B;ANDREW PELLER LTD -B;ADW.B;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ADX;ADVANTEX MARKETING INTL INC;ADX;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ADY;ADYTON RESOURCES CORP;ADY;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
ADYA;ADYA INC;ADYA;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
ADZ;ADAMERA MINERALS CORP;ADZ;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AE;AMERICAN EAGLE GOLD CORP;AE;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AEC;ANFIELD ENERGY INC;AEC;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
AEG;AEGIS BRANDS INC;AEG;CAD;Stocks;CA;TSE*;Desenvolvido;1
AEM;AGNICO EAGLE MINES LTD;AEM;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AEMC;ALASKA ENERGY METALS CORP;AEMC;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AEP;ATLAS ENGINEERED PRODUCTS LT;AEP;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
AER;ALTERNATIVE EARTH RESOURCES;AER;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
AERO;AERO ENERGY LTD;AERO;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
AETH;AETHER GLOBAL INNOVATIONS CO;AETH;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AF.P;AF2 CAPITAL CORP;AF.P;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
AFCC.H;AUTOMOTIVE FINCO CORP;AFCC.H;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
AFE;AFRICA ENERGY CORP;AFE;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
AFF;AFFINITY METALS CORP;AFF;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AFI;AFFINOR GROWERS INC;AFI;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AFM;ALPHAMIN RESOURCES CORP;AFM;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
AFN;AG GROWTH INTERNATIONAL INC;AFN;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AFR;AFR NUVENTURE RESOURCES INC;AFR;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
AFX;ARCTIC FOX LITHIUM CORP;AFX;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AG;FIRST MAJESTIC SILVER CORP;AG;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AGA;SILVER47 EXPLORATION CORP;AGA;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AGAG;GENESIS MINING TECHNOLOGIES;AGAG;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AGC;AVANTI GOLD CORP;AGC;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AGE;ACME GOLD CO LTD;AGE;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AGET;AGEDB TECHNOLOGY LTD;AGET;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AGF.B;AGF MANAGEMENT LTD-CLASS B;AGF.B;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AGH.H;CANADIAN SILVER HUNTER;AGH.H;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AGI;ALAMOS GOLD INC-CLASS A;AGI;CAD;Stocks;CA;TSE*;Desenvolvido;1
AGI.WT;ALAMOS GOLD INC -CW18 08/30/2018;AGI.WT;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AGLD;AUSTRAL GOLD LTD;AGLD;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AGMR;SILVER MOUNTAIN RESOURCES IN;AGMR;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
AGN;ALGERNON PHARMACEUTICALS INC;AGN;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AGS;ARCTURUS GROWTHSTAR TECH INC;AGS;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AGT;APPLIED GRAPHITE TECHNOLOGIE;AGT;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AGX;SILVER X MINING CORP;AGX;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
