SYMBOL;DESCRIPTION;IBKR SYMBOL;CURRENCY;PRODUCT;REGION;EXCHANGE *PRIMARY EXCHANGE;Classificação Econômica;inloco
1COV;COVESTRO AG;1COV;CHF;Stocks;CH;EBS*;Desenvolvido;1
1N8;ADYEN NV;1N8;CHF;Stocks;CH;EBS*;Desenvolvido;1
1Q5;DROPBOX INC-CLASS A;1Q5;CHF;Stocks;CH;EBS*;Desenvolvido;1
1SN;FIRST TIN PLC;1SN;GBP;Stocks;GB;LSE*;Desenvolvido;1
2198413D;INCOAX NETWORKS AB;2198413D;SEK;Stocks;SE;SFB*;Desenvolvido;1
2198414D;INCOAX NETWORKS AB-BTA;2198414D;SEK;Stocks;SE;SFB*;Desenvolvido;1
2200788D;ENERSIZE OYJ-BTA;2200788D;SEK;Stocks;SE;SFB*;Desenvolvido;1
2223609D;ZAZZ ENERGY OF SWEDEN AB-BTA;2223609D;SEK;Stocks;SE;SFB*;Desenvolvido;1
2261032D;INFANT BACTERIAL-RTS;2261032D;SEK;Stocks;SE;SFB*;Desenvolvido;1
2261043D;INFANT BACTERIAL-BTA;2261043D;SEK;Stocks;SE;SFB*;Desenvolvido;1
247;24SEVENOFFICE GROUP AB;247;SEK;Stocks;SE;SFB*;Desenvolvido;1
24STOR;24STORAGE AB;24STOR;SEK;Stocks;SE;SFB*;Desenvolvido;1
2535733D;SYNACT PHARMA AB - BTA;2535733D;SEK;Stocks;SE;SFB*;Desenvolvido;1
2CUREX;2CUREX AB;2CUREX;SEK;Stocks;SE;SFB*;Desenvolvido;1
2HQ;TILRAY BRANDS INC;2HQ;CHF;Stocks;CH;EBS*;Desenvolvido;1
3IN;3I INFRASTRUCTURE PLC;3IN;GBP;Stocks;GB;LSE*;Desenvolvido;1
450;450 PLC;450;GBP;Stocks;GB;LSE*;Desenvolvido;1
49GP;CRODA INTERNATIONAL PLC;49GP;GBP;Stocks;GB;LSE*;Desenvolvido;1
4BB;4BASEBIO PLC;4BB;GBP;Stocks;GB;LSE*;Desenvolvido;1
4C;4C GROUP AB;4C;SEK;Stocks;SE;SFB*;Desenvolvido;1
4GBL;4GLOBAL PLC;4GBL;GBP;Stocks;GB;LSE*;Desenvolvido;1
639;SPOTIFY TECHNOLOGY SA;639d;EUR;Stocks;FR;AQEUDE;Desenvolvido;1
80M;80 MILE PLC;80M;GBP;Stocks;GB;LSE*;Desenvolvido;1
88E;88 ENERGY LTD;88El;GBP;Stocks;GB;AQXEUK;Desenvolvido;1
8TRA;TRATON SE;8TRAd;EUR;Stocks;FR;AQEUDE;Desenvolvido;1
8TRA;TRATON SE;8TRA;SEK;Stocks;SE;SFB*;Desenvolvido;1
A1G;AMERICAN AIRLINES GROUP INC;A1G;CHF;Stocks;CH;EBS*;Desenvolvido;1
AA4;AMEDEO AIR FOUR PLUS LTD;AA4;GBP;Stocks;GB;LSE*;Desenvolvido;1
AAA;ALAN ALLMAN ASSOCIATES;AAA;EUR;Stocks;FR;SBF*;Desenvolvido;1
AAA;ARCAROMA AB;AAA;SEK;Stocks;SE;SFB*;Desenvolvido;1
AABA;ALTABA INC;AABA;CHF;Stocks;CH;EBS*;Desenvolvido;1
AAC;AAC CLYDE SPACE AB;AAC;SEK;Stocks;SE;SFB*;Desenvolvido;1
AAEV;ALBION ENTERPRISE VCT PLC;AAEV;GBP;Stocks;GB;LSE*;Desenvolvido;1
AAF;AIRTEL AFRICA PLC;AAFl;GBP;Stocks;GB;BATEUK;Desenvolvido;1
AAG;AUMANN AG;AAGd;EUR;Stocks;FR;AQEUDE;Desenvolvido;1
AAIF;ABRDN ASIAN INCOME FUND L;AAIFl;GBP;Stocks;GB;BATEUK;Desenvolvido;1
AAK;AAK AB;AAK;SEK;Stocks;SE;SFB*;Desenvolvido;1
AAL;ANGLO AMERICAN PLC;AALl;GBP;Stocks;GB;AQXEUK;Desenvolvido;1
AAM;ANGLO AMERICAN PLC;AAM;CHF;Stocks;CH;EBS*;Desenvolvido;1
AAPL;APPLE INC;AAPL;CHF;Stocks;CH;EBS*;Desenvolvido;1
AAS;ABRDN ASIA FOCUS PLC;AASl;GBP;Stocks;GB;BATEUK;Desenvolvido;1
AASC;ABERDEEN ASIAN SMLR CO INV TST 2.255% DUE 2025;AASC;GBP;Stocks;GB;LSE*;Desenvolvido;1
AATG;ALBION TECHNOLOGY & GENERAL;AATG;GBP;Stocks;GB;LSE*;Desenvolvido;1
AAU;ARIANA RESOURCES PLC;AAU;GBP;Stocks;GB;LSE*;Desenvolvido;1
AAZ;ANGLO ASIAN MINING PLC;AAZ;GBP;Stocks;GB;LSE*;Desenvolvido;1
AB;AB SCIENCE SA;AB;EUR;Stocks;FR;SBF*;Desenvolvido;1
ABB;ABB LTD-REG;ABB;SEK;Stocks;SE;SFB*;Desenvolvido;1
ABBV;ABBVIE INC;ABBV;CHF;Stocks;CH;EBS*;Desenvolvido;1
ABDN;ABRDN PLC;ABDNl;GBP;Stocks;GB;AQXEUK;Desenvolvido;1
ABDP;AB DYNAMICS PLC;ABDP;GBP;Stocks;GB;LSE*;Desenvolvido;1
ABDX;ABINGDON HEALTH PLC;ABDX;GBP;Stocks;GB;LSE*;Desenvolvido;1
ABEC;GOOGLE INC.;ABECd;EUR;Stocks;FR;AQEUDE;Desenvolvido;1
ABEO;ABEO SA;ABEOp;EUR;Stocks;FR;AQEUEN;Desenvolvido;1
ABF;ASSOCIATED BRITISH FOODS PLC;ABFl;GBP;Stocks;GB;AQXEUK;Desenvolvido;1
ABG;ABG SUNDAL COLLIER HOLDING;ABG;NOK;Stocks;NO;OSE*;Desenvolvido;1
